field	baseline_enumeration	enumeration_description
in.county_and_puma	G3600330, G36000200	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600350, G36001600	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600370, G36001000	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600390, G36002100	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600410, G36000200	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600430, G36000401	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600430, G36000403	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600450, G36000500	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600470, G36004001	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600470, G36004002	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600470, G36004003	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600470, G36004004	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600470, G36004005	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600470, G36004006	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600470, G36004007	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600470, G36004008	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600470, G36004009	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600470, G36004010	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600470, G36004011	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600470, G36004012	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600470, G36004013	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600470, G36004014	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600470, G36004015	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600470, G36004016	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600470, G36004017	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600470, G36004018	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600490, G36000500	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600510, G36001300	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600530, G36001500	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600550, G36000901	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600550, G36000902	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600550, G36000903	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600550, G36000904	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600550, G36000905	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600550, G36000906	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600570, G36001600	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600590, G36003201	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600590, G36003202	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600590, G36003203	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600590, G36003204	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600590, G36003205	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600590, G36003206	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600590, G36003207	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600590, G36003208	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600590, G36003209	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600590, G36003210	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600590, G36003211	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600590, G36003212	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600610, G36003801	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600610, G36003802	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600610, G36003803	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600610, G36003804	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600610, G36003805	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600610, G36003806	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600610, G36003807	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600610, G36003808	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600610, G36003809	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600610, G36003810	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600630, G36001101	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600630, G36001102	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600650, G36000401	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600650, G36000402	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600650, G36000403	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600670, G36000701	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600670, G36000702	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600670, G36000703	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600670, G36000704	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600690, G36001400	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600710, G36002901	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600710, G36002902	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600710, G36002903	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600730, G36001000	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600750, G36000600	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600770, G36000403	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600790, G36003101	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600810, G36004101	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600810, G36004102	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600810, G36004103	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600810, G36004104	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600810, G36004105	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600810, G36004106	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600810, G36004107	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600810, G36004108	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600810, G36004109	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600810, G36004110	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600810, G36004111	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600810, G36004112	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600810, G36004113	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600810, G36004114	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600830, G36001900	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600850, G36003901	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600850, G36003902	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600850, G36003903	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600870, G36003001	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600870, G36003002	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600870, G36003003	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600890, G36000100	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600910, G36001801	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600910, G36001802	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600930, G36001700	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600950, G36000403	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600970, G36002402	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3600990, G36000800	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3601010, G36002401	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3601010, G36002402	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3601030, G36003301	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3601030, G36003302	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3601030, G36003303	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3601030, G36003304	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3601030, G36003305	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3601030, G36003306	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3601030, G36003307	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3601030, G36003308	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3601030, G36003309	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3601030, G36003310	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3601030, G36003311	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3601030, G36003312	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3601030, G36003313	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3601050, G36002701	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3601070, G36002202	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3601090, G36002300	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3601110, G36002701	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3601110, G36002702	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3601130, G36000300	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3601150, G36000300	GISJOIN identifier for each county + PUMA combination
in.county_and_puma	G3601170, G36000800	GISJOIN identifier for each county + PUMA combination
